,ID,User,Follower Count,Tweet,Created At,Favourite Count,Retweet Count
0,1520778744495054848,Ginge Knievil 🏴󠁧󠁢󠁷󠁬󠁳󠁿,1335,"NOW PLAYING: The Alarm - Declaration (I.R.S. Records, 1984).

#NowPlaying
#TheAlarm
#GingesListeningPost https://t.co/TEUcnxBiUU",2022-05-01 14:54:42,0,0
1,1520778741106065409,Alpha Y Omega Radio 24/7,298,#NowPlaying Vivir Con Él by Alex Campos,2022-05-01 14:54:41,0,0
2,1520778740338470914,Recurrent Morphing Radio,91,"Now on #RMR:
🎶: Carefully tuned sets
📻: Sound of the Year 2D
#nowplaying #radio #hkw
[220501.095440]",2022-05-01 14:54:41,0,0
3,1520778736815255554,NeoPlaylist,761,#nowplaying #radioneo #KLOPELGAG - MELAMINE https://t.co/sYzWvVoD1y,2022-05-01 14:54:40,0,0
4,1520778736710582273,でら,856,"#nowplaying #橋爪もも ドッペルゲンガー
橋爪ももの生乾き放送 │ NACK5

https://t.co/9TEhkIxkRY
#radiko #nack5 #橋爪もも #生乾き795",2022-05-01 14:54:40,0,0
5,1520778727885459457,Keep the faith Internet radio,355,#NowPlaying I've Been Cheated by The Dalton Boys on Keep The Faith Internet Radio,2022-05-01 14:54:38,0,0
6,1520778724400115714,Radio ITALOPOWER!,274,#NowPlaying Afrika System - Anikana-O (Zulu Mix) | Radio ITALOPOWER! | https://t.co/gt2r9caOhK,2022-05-01 14:54:37,0,0
7,1520778717043298304,Booster Radio,51,#NowPlaying I wanna dance with somebody(Clubboholic 2K16 Edit).mp3 by Whitney Houstonhttps://listen.samcloud.com/w/70025/Booster-radio,2022-05-01 14:54:35,0,0
8,1520778712333299712,j-juke80s,610,"#NowPlaying ""傷だらけを抱きしめて"" by T-BOLAN",2022-05-01 14:54:34,0,0
9,1520778707413213184,SOMNIA,100,"#nowplaying Cool Keedz &amp; Dora Sanches - Stay The Night
Clic aqui: https://t.co/ylmewg4Z2n
#music #musica #djs #deejays #edm #americalatina #talent #talento",2022-05-01 14:54:33,0,0
10,1520778707169800193,る,144,26時のマスカレイド の GoWay なう #nowplaying https://t.co/wy3th7RHV8,2022-05-01 14:54:33,0,0
11,1520778699636985857,Primordial Radio Playlist,743,#nowplaying on @PrimordialRadio All I Want by A Day To Remember (@adtr) Listen now: https://t.co/g2DEFzgNka,2022-05-01 14:54:31,0,0
12,1520778690170429441,WPGN Radio,7699,#NowPlaying Good News Gospel 05012022(5) by Twanda Black  @prayzefest      01:00:27 https://t.co/FKcddbjTqK,2022-05-01 14:54:29,0,0
