,ID,User,Follower Count,Tweet,Created At,Favourite Count,Retweet Count
0,1522589198229950464,BangersRadioUK,417,"#nowplaying Teardrops (Flava 7 Radio Mix) by Lovestation

Listen now at https://t.co/MXYhipnqJB",2022-05-06 14:48:47,0,0
1,1522589191426777091,The Cutting Edge of Christmas - Now Playing,22,"#NowPlaying Lion in the Mane - All I Want for Christmas is You
Listen at https://t.co/ifwZph11B0
#christmas #alternative #radio",2022-05-06 14:48:46,0,0
2,1522589190101291018,J1 HITS 令和 - Japan's Hottest Hits,618,J1 HITS: [00:48] #NowPlaying Mayumura Chiaki (眉村ちあき) - Kono Chou wo Ikite Iru (この朝を生きている) ~ 61 listeners #JPOP,2022-05-06 14:48:45,0,0
3,1522589185420406784,ありす🎹🎨☔🌈Ⓜ️,970,やまもとひかる「DOGMA」#NowPlaying,2022-05-06 14:48:44,0,0
4,1522589179514966016,Caribbean Love Radio,3201,#NowPlaying Love Somebody Like You - Keith Urban on Caribbean Love Radio https://t.co/5zlM0zKV0g #Caribbean #LoveRadio #CaribbeanLoveRadio,2022-05-06 14:48:43,0,0
5,1522589176088207362,Music City Digital Media Network©,18539,#NowPlaying  Propaganda by @movment Listen online https://t.co/DpsMIpcMjD https://t.co/1oESvm0gPg,2022-05-06 14:48:42,0,0
6,1522589175752499200,乃木坂46推し‼,400,"制服のマネキン/乃木坂46
＃nowplaying #乃木坂46#nogizaka46",2022-05-06 14:48:42,0,0
7,1522589174293053441,NightShot Radio 🎧,1963,#NowPlaying Long As I Live by Toni Braxton https://t.co/N3g4JyDoqK,2022-05-06 14:48:42,0,0
8,1522589151656259584,Keep the faith Internet radio,356,#NowPlaying Missin' My Baby by Clydie King on Keep The Faith Internet Radio,2022-05-06 14:48:36,0,0
9,1522589143926439937,ﾊﾟンﾄﾞﾗｼョｺラ姉貴,175,#Nowplaying ☆Fighting Pose☆ - 初音ミク (magnet -favorites plus-) https://t.co/mUhGX0qrf0,2022-05-06 14:48:34,0,0
10,1522589141007056903,DJ Nu,8608,"#NowPlaying Soundgasm (Instrumental) by Rema #Donate 2 #support; https://t.co/BXwE1VZr7i
 Stream here https://t.co/S2s33vxCN9 https://t.co/wzzL5Ez4Vy",2022-05-06 14:48:34,0,0
11,1522589137299202048,#TriumphantRadio 🇳🇬 🇬🇧🇨🇦,1127,"#NowPlaying On Triumphant Radio : Everything || https://t.co/IdWywcOYAq [30vO] by Folabi Nuel listen at https://t.co/nCk8FU22Ap download App 
 Buy song https://t.co/SFVI8CxjE5",2022-05-06 14:48:33,0,0
12,1522589121448972288,ɢᴀᴠɪɴ ⭐,265,#nowplaying #MelAndKim #FLM 🎶💗 https://t.co/WYC1364DTb,2022-05-06 14:48:29,0,0
13,1522589119917948928,ちゃんばー⊿,342,"#NowPlaying 2022.05.06
就活用の証明写真を撮影してきたのですが、撮影機から写真が出てきた瞬間の感想が「いや、お前太ったなおい！」でした。ウォーキングしてるんですけどね…。隠れ食いもしてないんですけどね…。

https://t.co/h0jpmAj7Rp - サプリミナル・ダイエット
https://t.co/qPowgxFuBS",2022-05-06 14:48:29,0,0
14,1522589118559141892,PinkDiamond Radio 52.8 “THE VIBE”,82,"SWEET DICE | @SweetDice06 - Cool summer (Feat. Wiser Observer)
https://t.co/FteISGXpmg
#NowPlaying #PinkDiamondRadio",2022-05-06 14:48:28,0,0
15,1522589116264710146,ほくほく໒꒱*｡,1653,もののけ姫 ヴォーカル by 米良美一 #NowPlaying https://t.co/T8Gnm7qiW3,2022-05-06 14:48:28,0,0
16,1522589109809782786,Chronicles Christian Radio | CCRadioCo,5907,#NowPlaying Send your rain by Kent Henry on https://t.co/28Nm5G3J5o #ChroniclesChristianRadio #ccradioco #JesusIsLord,2022-05-06 14:48:26,0,0
17,1522589107251208192,That Metal Interview with James,343,14:47  #NowPlaying Dadaist Disgust (@BlackVoid_Band @nuclearblast) - #BlackVoid https://t.co/tp356XRcNk,2022-05-06 14:48:26,0,0
18,1522589099068112897,HOODZ RADIO,4857,"#NowPlaying #ListenLive on https://t.co/e8xKQaZNxB Partition (Streetz Version) by Beyonce  #HandlingOurOwnDestinyZ
 Buy this song now https://t.co/tsZTrZUZVK https://t.co/ZiRlf0wIgC",2022-05-06 14:48:24,0,0
19,1522589094408298497,J1 HD Southern California,30,J1 HD: #NowPlaying TOC - Kakokyuu (過呼吸) ~ 7 online listeners ~ also 99.1 HD3 #SoCal #JPOP,2022-05-06 14:48:23,0,0
20,1522589079380058114,Miami Paradise Radio 🎗️,3771,"#NowPlaying Lonely Boy #Andrew Gold
https://t.co/6YrLy2mloC #radio #music #tunein #np #Pop #ClassicRock #AllGenres",2022-05-06 14:48:19,0,0
21,1522589077018759169,OSN Radio Now!,564,Now playing on OSN Radio (@osnradio) Extacy by Shades of Rhythm #OSN #NowPlaying (https://t.co/sqSi21pNZ1),2022-05-06 14:48:18,0,0
22,1522589072954322945,MonicaValdi🇨🇱 ☮,1810,"@MariaPastorQ1 Corazón 💕
@dimash_official
#FlyAway
#DimashKazakhVoice 
#DimashQudaibergen
#NowPlaying
#NewMusic 🎼",2022-05-06 14:48:17,0,0
23,1522589069146206208,はせべぇ,816,#nowplaying https://t.co/qETFysyiUm,2022-05-06 14:48:17,0,0
24,1522589068575784960,ゼロナナ,680,#Nowplaying Venus Line - 広瀬香美 (Venus Line - Single) https://t.co/iGCSaZ7kN4,2022-05-06 14:48:16,0,0
25,1522589067111772164,KDRS Playlist,566,#NowPlaying That's What I Want by Lil Nas X #listen at https://t.co/RGN0Gpaxia,2022-05-06 14:48:16,0,0
26,1522589065329233922,TheMothFM,176,#NowPlaying Together Again (Album Version) by Peter Whitehttps://listen.samcloud.com/w/62012/MothFM https://t.co/k6KxAFu6tV,2022-05-06 14:48:16,0,0
27,1522589062254764033,TRACK TALK RADIO,3309,#NowPlaying YING YANG TWINS @yingyangtwins by Ying Yang Twins #tracktalkradio  @misstactalkpro  -https://t.co/x5EIyjQ3pa https://t.co/BSdk7tRN3o,2022-05-06 14:48:15,0,0
28,1522589054272999426,OldiesInternetRadio,537,"#NowPlaying Winners And Losers by Hamilton, Joe Frank &amp; Reynolds! Find us at the Digital Retroland app: Google Play https://t.co/opqQCnWd75 Apple Micro-site:  https://t.co/PwX5eAODx1 Web Page https://t.co/29FIbvcKWW #oldies #lovesongs #classicrock",2022-05-06 14:48:13,0,0
29,1522589053262397441,うみぼー,502,"ユメシンデレラ  / 雨宮天,夏川椎菜　#NowPlaying",2022-05-06 14:48:13,0,0
30,1522589046509568001,ちぬを,91,"【AIイタコ】めざせ有料マスター【オリジナル曲】 https://t.co/u5TwFOBuAo #sm39112159 #nowplaying #nicobox
一旦これになる",2022-05-06 14:48:11,1,0
31,1522589045024780288,RUI,18,#nowplaying ストロボメモリー by 内田真礼 https://t.co/FXTixvZ4j7,2022-05-06 14:48:11,0,0
32,1522589044340756480,りれ,65,ステラの座 / 雄之助 feat. 星界 https://t.co/vitL769G9e #sm40319025 #nowplaying #nicobox,2022-05-06 14:48:11,0,0
33,1522589036946366464,The pretty BBC 6 Music 🎶 #NowPlaying Bot,362,"🔊 #NowPlaying on #BBC6Music's #CraigCharles 🕊️

Buffalo Springfield:
  🎵 For What It's Worth

#BuffaloSpringfield 

https://t.co/kqyeujuyUI",2022-05-06 14:48:09,0,0
34,1522589032966144000,oYm,259,#NowPlaying THE ULTIMACY - aran vs Massive New Krew https://t.co/2XmVyaBmgg,2022-05-06 14:48:08,0,0
35,1522589032861024259,‎﮼لولا💕',4236,"🥰 ♫ #NowPlaying “RIP, Love” by Faouzia on #Anghami https://t.co/kGl9edXc7I",2022-05-06 14:48:08,0,0
36,1522589032718475265,The Glam'More Life,2,#NowPlaying Ashanti - Rock Wit U (Awww Baby) https://t.co/guc4sjiN7b,2022-05-06 14:48:08,0,0
37,1522589031963443202,FUNKnation Radio,44,"Edley Shine  - Funktion Sound RUN IT is #NowPlaying @FUNKnationRadio .

LISTEN NOW = https://t.co/5aiw7nSp6X 

We are a party in your pocket!",2022-05-06 14:48:08,0,0
38,1522589031158231043,Swift Wave Radio,272,#NowPlaying LMFAO feat. Lauren Bennett &amp; Goon Rock - Party Rock Anthem #SWIFTWAVERADIO Listen Live on https://t.co/rTI0vlu5qn,2022-05-06 14:48:08,0,0
39,1522589030810017797,Funky Pearls Radio,73,https://t.co/JUzbuuY56d #disco #funk #radio #radiofunk #radiodisco #webradio #funkypearls #funkradio #jazzradio #funkypearlsradio #NowPlaying Eddie Kendricks - Boogie Down https://t.co/JUzbuuY56d https://t.co/5V41wpE9lL,2022-05-06 14:48:07,0,0
40,1522589029711200256,Jeneses Radio 📻,9985,#NowPlaying @Lundyy_BadAss - Mad at Me Feat Fatz DaBi Listen Now At &gt;&gt;&gt; https://t.co/gz7RFjRIw9&lt;&lt;&lt; #TeamJeneses  #TallyRaggNation https://t.co/qHmYid4xvr,2022-05-06 14:48:07,0,0
41,1522589028809330690,92.2 Tha’ Goat Radio (HD-1),82,"@DjUshayThaGoat #NowPlaying The Isley Brothers - Voyage To Atlantis 
All Hitz &amp; Throwbacks, No Commercials #922ThaGoatRadio
https://t.co/mZuX5z73PR https://t.co/I7yhdiobS7",2022-05-06 14:48:07,0,0
42,1522589027785977856,Antillesdomstationradio,56,#NowPlaying Tiitof - Charbon https://t.co/2WjR5HFFpM,2022-05-06 14:48:07,0,0
43,1522589027165167617,Mizz DIBOU,1156,#NowPlaying Woman's World by BJ The Chicago Kid on https://t.co/4rAFXTMFoP https://t.co/XswfdB6UNe,2022-05-06 14:48:07,0,0
44,1522589026019991553,Fusion Xtra,1209,#NowPlaying - #WizKid - Longtime ft. Skepta #FusionXtra,2022-05-06 14:48:06,0,0
45,1522589025650978816,MonicaValdi🇨🇱 ☮,1810,"@MariaPastorQ1 Calamar 🦑
@dimash_official
#FlyAway
#DimashKazakhVoice 
#DimashQudaibergen
#NowPlaying
#NewMusic 🎼",2022-05-06 14:48:06,0,0
46,1522589024980025345,CultureAddict Webradio,55,"#NowPlaying : ""People"", de Dax Riders

Webradio CultureAddict disponible 24h/24 sur le site, Deezer ou les applications mobiles iOS &amp; Androïd : https://t.co/CIkzBshSsf https://t.co/1UH1xonx4P",2022-05-06 14:48:06,0,0
47,1522589024761913348,What is Hip ?! Radio,198,#NowPlaying Tour Maubourg - Le Warm up,2022-05-06 14:48:06,0,0
48,1522589021930672129,Groover Radio,706,#NowPlaying Posh - Time Has Come // Listen on https://t.co/SSGqFMIfWd https://t.co/MbO8ciYqKg,2022-05-06 14:48:05,0,0
49,1522589020655697921,medline bradley,401678,#Nowplaying let it go - drem tgi /@dremtgi [https://t.co/JocnbFqhqm] listen now at {https://t.co/5B9EJ3yqSV} #dremstuff #dremtgi,2022-05-06 14:48:05,0,0
50,1522589020005482496,105.1LIVE,188,#NowPlaying Rick Ross - Diced Pineapples feat Drake and Wale https://t.co/INRN1CwbEK #105LIVE #NewMusic #Classics #HipHopandRnBLivesHere,2022-05-06 14:48:05,0,0
51,1522589016339537920,𝔅𝔄𝔉𝟐（ばふつ）All of which are Twilight Dream,1408,#NowPlaying KMC / BLACK RAIN https://t.co/4MrtVPgRf2,2022-05-06 14:48:04,0,0
52,1522589015425306625,Deep Kulture | Worldwide Radio,817,#NowPlaying Miami Sound Machine - Dr. Beat https://t.co/736B6CITSq,2022-05-06 14:48:04,0,0
53,1522589015068844032,PerfectMoods Radio,280,"#NowPlaying Jimpster, Rich Medina, Turbojazz, Sean McCabe - This Thing (Turbojazz &amp; Sean McCabe Remix) PerfectMoods | #Lounge #Webradio #chillout #dutchradio",2022-05-06 14:48:04,0,0
54,1522589010211782656,Gospel Grind Radio,3039,#NowPlaying It Is So by Ron Summers and Elements #Gospelgrind at https://t.co/QIi6sSAP3P #gospelgrind #nowplaying,2022-05-06 14:48:03,0,0
55,1522589004633296896,優木たか菜,147,#nowplaying 夢が僕らの太陽さ - by 虹ヶ咲学園スクールアイドル同好会 https://t.co/lajMnXAug9,2022-05-06 14:48:01,0,0
